Data,Valor
2025-11-05,79.99
2025-11-05,95.03
2025-11-05,79.99
2025-11-09,95.03
2025-11-09,79.99
2025-11-09,95.03
2025-11-09,79.99
2025-11-09,95.03
2025-11-09,79.99
2025-11-09,95.03
2025-11-09,79.99
2025-11-10,95.03
2025-11-10,79.99
2025-11-10,95.03
2025-11-10,79.99
2025-11-10,95.03
2025-11-10,79.99
2025-11-10,95.03
2025-11-10,79.99
2025-11-10,95.03
2025-11-11,79.99
2025-11-11,95.03
2025-11-11,79.99
2025-11-11,95.03
2025-11-11,79.99
2025-11-11,95.03
2025-11-11,79.99
2025-11-11,95.03
2025-11-11,79.99
2025-11-11,95.03
2025-11-11,79.99
2025-11-11,95.03
2025-11-11,79.99
2025-11-12,95.03
2025-11-12,79.99
2025-11-12,95.03
2025-11-12,79.99
2025-11-12,95.03
2025-11-12,79.99
2025-11-12,95.03
2025-11-12,79.99
2025-11-12,95.03
2025-11-12,79.99
2025-11-13,95.03
2025-11-13,79.99
2025-11-14,85.99
2025-11-14,85.99
2025-11-14,85.99
2025-11-14,85.99
2025-11-14,85.99
2025-11-15,85.99
2025-11-15,85.99
2025-11-16,85.99
2025-11-16,85.99
2025-11-17,87.99
2025-11-27,91.99
2025-11-28,91.99
2025-11-28,91.99
2025-11-30,91.99
2025-11-30,91.99
2025-12-01,91.99
2025-12-02,94.99
2025-12-02,94.99
2025-12-02,94.99
2025-12-02,94.99
2025-12-02,94.99
2025-12-02,94.99
2025-12-02,94.99
2025-12-03,94.99
2025-12-03,94.99
2025-12-04,94.99
2025-12-04,94.99
2025-12-04,94.99
2025-12-04,94.99
2025-12-04,94.99
2025-12-05,94.99
2025-12-05,94.99
2025-12-05,94.99
2025-12-05,94.99
2025-12-06,94.99
2025-12-06,94.99
2025-12-08,94.99
2025-12-08,94.99
2025-12-08,94.99
2025-12-08,94.99
2025-12-09,96.99
2025-12-09,96.99
2025-12-11,96.99
2025-12-11,96.99
2025-12-11,96.99
2025-12-11,96.99
2025-12-11,96.99
2025-12-11,96.99
2025-12-12,96.99
2025-12-12,96.99
2025-12-12,96.99
2025-12-13,96.99
2025-12-14,96.99
2025-12-14,96.99
2025-12-14,96.99
2025-12-14,96.99
2025-12-14,96.99
2025-12-14,96.99
2025-12-14,96.99
2025-12-15,149.95
2025-12-15,96.99
2025-12-15,149.95
2025-12-15,96.99
2025-12-15,149.95
2025-12-15,96.99
2025-12-15,149.95
2025-12-15,96.99
2025-12-15,149.95
2025-12-15,149.95
2025-12-15,149
2025-12-16,96.99
2025-12-16,149
2025-12-16,96.99
2025-12-16,149
2025-12-16,96.99
2025-12-16,149
2025-12-16,96.99
2025-12-16,149
2025-12-16,96.99
2025-12-16,149
2025-12-17,96.99
2025-12-17,149
2025-12-17,96.99
2025-12-18,149
2025-12-18,96.99
2025-12-18,149
2025-12-18,96.99
2025-12-18,96.99
2025-12-18,96.99
2025-12-18,96.99
2025-12-18,96.99
2025-12-18,96.99
2025-12-18,96.99
2025-12-18,96.99
2025-12-18,144.95
2025-12-19,96.99
2025-12-19,144.95
2025-12-19,96.99
2025-12-19,144.95
